mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,9.589862823486328,32.77716636657714,12.22681999206543
mig,0.6,24.154210090637207,82.05349445343023,14.453887939453125
mps-uncap,0.7,15.291953086853031,42.30141639709473,26.2601375579834
mig,0.7,32.25750923156738,145.79133987426758,21.459054946899414
mps-uncap,0.8,23.033928871154796,67.03548431396486,53.08592319488524
mig,0.8,59.2876672744751,171.0965633392334,34.121060371398926
mps-uncap,0.9,45.68805694580078,84.35754776000978,562.2662782669066
mig,0.9,108.0625057220459,458.1206798553467,82.66785144805904
mps-uncap,1.0,76.18575096130375,123.11573028564457,14283.341002464302
mig,1.0,1057.454013824463,831.6598415374755,422.9591369628906
mps-uncap,1.1,299.346685409546,227.30307579040525,28068.44139099121
mig,1.1,8044.933795928955,5861.8141174316415,7370.754814147949
mps-uncap,1.2,6470.495915412905,1025.8159160614014,36195.88661193848
mig,1.2,12227.399873733519,13040.702605247496,13497.825145721436
mps-uncap,1.3,10452.981352806091,15429.227113723755,31859.169960021973
mig,1.3,18248.054027557373,16377.350091934204,16403.004598617554
