mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,31.865749359130827,94.50186491012587,35.22443771362305
mig,0.6,66.24147891998287,204.10985946655242,34.25302505493166
mps-uncap,0.7,49.357619285583496,125.26538372039775,78.83405685424805
mig,0.7,78.79706382751456,444.98534440994246,53.182625770568855
mps-uncap,0.8,62.06628084182739,175.04398822784378,126.98123455047597
mig,0.8,134.40951108932495,356.6232919692996,83.52540731430051
mps-uncap,0.9,143.99541854858396,215.12389659881592,883.5881805419917
mig,0.9,210.26201248168962,659.2544388771057,168.81572008132937
mps-uncap,1.0,165.14302253723145,316.4473915100098,15826.913840770721
mig,1.0,1308.8547921180725,1235.0457978248596,599.5328712463379
mps-uncap,1.1,535.9920263290404,453.10592651367205,30853.647375106815
mig,1.1,8464.584684371948,6545.7801723480225,8106.900300979614
mps-uncap,1.2,7373.029906749725,1423.723177909851,39959.35869216919
mig,1.2,13657.335624694824,14365.910668373108,14893.106389045714
mps-uncap,1.3,11402.774481773376,17031.734466552734,35302.99472808838
mig,1.3,20151.9296169281,17002.42294073105,18242.8201007843
