mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,1567.62003817888,219.82970587417665,2697.034598500387
mig,0.6,1569.5016154475013,204.14622139796364,2736.114056369745
mps-uncap,0.7,1815.000508652734,240.33284659728122,3214.7060439502297
mig,0.7,1750.7331644774245,231.09315755651832,3194.8955152174417
mps-uncap,0.8,2082.054731625774,282.0064442593269,3652.3973439389874
mig,0.8,2111.020260938141,269.58678279128833,3619.489205292549
mps-uncap,0.9,2332.473560782603,318.68304968583783,4061.127488549566
mig,0.9,2281.336742983334,316.85666879069095,4094.6434191251806
mps-uncap,1.0,2585.3272193526464,343.6007989023044,3832.46119252572
mig,1.0,2612.943112941411,334.899738928846,4574.035045327859
mps-uncap,1.1,2844.257307287201,373.7359608203775,3402.2849118585827
mig,1.1,2624.478756815586,347.2812052985027,4620.541586205145
mps-uncap,1.2,2881.737115305669,424.877090442223,3048.436604525668
mig,1.2,2622.91449518319,347.5055588406465,4595.91692935584
mps-uncap,1.3,3001.975916267128,366.97781428973644,3597.9938942751683
mig,1.3,2639.6394890600372,348.87247011469015,4688.958381108336
