mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,9.394645690917969,31.18908405303955,8.254766464233398
mig,0.6,17.02141761779785,64.32461738586426,10.185480117797852
mps-uncap,0.7,10.74838638305664,35.887718200683594,10.71929931640625
mig,0.7,20.282983779907227,74.29170608520508,12.327790260314941
mps-uncap,0.8,13.198614120483398,44.24738883972168,18.347859382629395
mig,0.8,29.022812843322754,94.10595893859863,15.4191255569458
mps-uncap,0.9,20.041942596435547,47.829270362854004,110.72885990142822
mig,0.9,44.991254806518555,220.32976150512695,28.908610343933105
mps-uncap,1.0,30.06768226623535,61.762094497680664,7144.328236579895
mig,1.0,661.8481874465942,363.478422164917,259.1392993927002
mps-uncap,1.1,72.47042655944824,88.91308307647705,14529.024839401245
mig,1.1,4371.049880981445,3363.774299621582,3917.825698852539
mps-uncap,1.2,3698.9508867263794,351.2289524078369,19847.04101085663
mig,1.2,6403.134822845459,6122.8272914886475,7671.3221073150635
mps-uncap,1.3,5692.720890045166,8556.016683578491,19211.240768432617
mig,1.3,9887.68219947815,9947.533249855042,9286.898374557495
