mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,10.942745208740234,36.74452304840088,9.549617767333984
mig,0.6,13.699913024902344,47.00784683227539,8.149385452270508
mps-uncap,0.7,11.230039596557619,39.899349212646484,10.370492935180664
mig,0.7,13.456010818481447,46.99211120605469,7.951807975769044
mps-uncap,0.8,11.65587902069092,41.457509994506836,10.834169387817383
mig,0.8,13.138413429260254,46.87809944152832,7.734441757202148
mps-uncap,0.9,12.824440002441408,38.506221771240234,11.35861873626709
mig,0.9,13.104438781738281,46.694207191467285,7.660627365112305
mps-uncap,1.0,13.104438781738281,39.55802917480469,11.851024627685549
mig,1.0,13.112545013427734,46.6357946395874,7.608795166015625
mps-uncap,1.1,13.298749923706055,39.998102188110344,12.730121612548828
mig,1.1,13.053655624389648,46.634674072265625,7.595396041870117
mps-uncap,1.2,13.613009452819824,40.168118476867676,13.567924499511719
mig,1.2,13.045167922973633,46.59578800201416,7.628679275512695
mps-uncap,1.3,12.865734100341797,45.97043991088867,11.471748352050781
mig,1.3,13.005256652832031,46.491384506225586,7.3496341705322275
