mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,8.202791213989258,26.383638381958008,5.436897277832031
mig,0.6,11.96599006652832,45.931339263916016,6.7462921142578125
mps-uncap,0.7,8.559107780456543,29.596328735351562,5.656719207763672
mig,0.7,11.961698532104492,45.91870307922363,6.836295127868652
mps-uncap,0.8,9.022355079650879,33.11514854431152,6.425142288208008
mig,0.8,11.949539184570312,45.9294319152832,6.817817687988281
mps-uncap,0.9,9.849786758422852,32.837867736816406,7.341504096984863
mig,0.9,11.968612670898438,45.87423801422119,6.833672523498535
mps-uncap,1.0,10.127782821655273,34.48939323425293,8.759617805480957
mig,1.0,11.98434829711914,45.85158824920654,6.806373596191406
mps-uncap,1.1,10.335445404052734,35.14754772186279,9.56106185913086
mig,1.1,11.954307556152344,45.85623741149902,6.801843643188477
mps-uncap,1.2,10.84446907043457,35.58158874511719,10.406732559204102
mig,1.2,11.977434158325195,45.87709903717041,6.846427917480469
mps-uncap,1.3,10.349631309509277,43.35951805114746,8.93259048461914
mig,1.3,11.748671531677246,45.75300216674805,6.522655487060547
