mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,114.09617590629715,3762.1873291009306,909.4099668846444
mps-uncap,0.9,129.38306014660637,4152.884799400799,1025.138247885603
mps-uncap,1.0,138.82685275597444,4201.468807697224,981.5665991853382
mps-uncap,0.5,72.98096269559248,2314.0720285893394,579.0867343391175
mps-uncap,0.6,86.9456650029494,2754.4761761307263,710.8778644262915
mps-uncap,0.7,101.56068387691927,3218.4701803101425,800.0244047888888
mps-uncap,0.1,12.970770109270527,458.577477234865,118.04414117008785
mps-uncap,0.2,30.685405742109545,916.1219301482099,231.44581752588252
mps-uncap,0.3,45.60543799028327,1407.0990126658992,342.46331092113275
mps-uncap,0.4,57.66194051797047,1856.304007082876,464.02499993003005
