mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,40.82131385803223,23.921728134155273,9.68468189239502
mps-uncap,0.9,40.80498218536377,1761.8598937988281,1218.5806035995483
mps-uncap,1.0,995.0313568115234,3167.2749519348145,5199.900150299072
mps-uncap,0.5,20.644426345825195,9.574174880981445,3.6635398864746094
mps-uncap,0.6,21.23403549194336,11.48676872253418,4.252195358276367
mps-uncap,0.7,23.08058738708496,14.600515365600586,5.364418029785156
mps-uncap,0.1,29.535889625549316,8.902788162231445,3.9360523223876953
mps-uncap,0.2,20.37334442138672,8.674144744873047,3.876924514770508
mps-uncap,0.3,20.182013511657715,8.621692657470703,3.824472427368164
mps-uncap,0.4,20.57361602783203,8.64720344543457,3.6551952362060547
