mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,107.72171020507817,59.85717773437499,33.50579738616946
mps-uncap,0.9,106.16688728332517,2531.0165882110596,2295.743465423584
mps-uncap,1.0,1887.2021436691284,6482.202148437501,9166.116261482237
mps-uncap,0.5,36.66985034942627,18.925905227661133,7.616162300109863
mps-uncap,0.6,42.7609920501709,26.36432647705078,9.466505050659174
mps-uncap,0.7,53.50563526153566,34.362196922302246,13.587617874145508
mps-uncap,0.1,32.66174793243408,12.200593948364258,5.370616912841797
mps-uncap,0.2,31.121015548706055,12.565088272094727,6.052684783935547
mps-uncap,0.3,31.131267547607422,14.602518081665039,6.718206405639648
mps-uncap,0.4,35.73012351989746,16.763496398925785,6.773138046264648
