mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,0.012159347534179688,0.009775161743164062,0.0095367431640625
mps-uncap,0.9,0.012159347534179688,0.010967254638671875,0.011444091796875
mps-uncap,1.0,0.012874603271484375,0.012159347534179688,0.011682510375976562
mps-uncap,0.5,0.011920928955078125,0.010013580322265625,0.009298324584960938
mps-uncap,0.6,0.010251998901367188,0.0095367431640625,0.009298324584960938
mps-uncap,0.7,0.009775161743164062,0.009775161743164062,0.009059906005859375
mps-uncap,0.1,0.01239776611328125,0.012159347534179688,0.013589859008789062
mps-uncap,0.2,0.012159347534179688,0.011682510375976562,0.012874603271484375
mps-uncap,0.3,0.011920928955078125,0.010967254638671875,0.010967254638671875
mps-uncap,0.4,0.01239776611328125,0.0095367431640625,0.01049041748046875
