mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,266.2012577056885,140.7182216644287,107.63406753540039
mps-uncap,0.9,263.7176513671875,2662.5990867614746,2577.9542922973633
mps-uncap,1.0,2273.872137069702,7228.503227233887,10305.098056793213
mps-uncap,0.5,81.75063133239746,52.6885986328125,23.49853515625
mps-uncap,0.6,116.17231369018555,58.975934982299805,35.46476364135742
mps-uncap,0.7,173.0215549468994,88.4087085723877,42.75345802307129
mps-uncap,0.1,55.00316619873047,37.53066062927246,10.81991195678711
mps-uncap,0.2,53.19714546203613,29.963254928588867,14.170408248901367
mps-uncap,0.3,55.64117431640625,36.76319122314453,16.777515411376953
mps-uncap,0.4,73.1654167175293,61.040401458740234,18.49675178527832
