mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,81.92467689514163,52.25515365600585,29.749751091003446
mps-uncap,0.9,83.09319019317627,2523.7011909484863,2291.9434309005737
mps-uncap,1.0,1860.749340057373,6474.591588974,9160.716342926025
mps-uncap,0.5,17.982840538024902,11.722087860107422,4.3381452560424805
mps-uncap,0.6,23.43978881835938,19.11473274230957,6.197595596313477
mps-uncap,0.7,33.69362354278567,26.919245719909668,10.022640228271486
mps-uncap,0.1,0.05087852478027346,3.023099899291994,0.4456043243408203
mps-uncap,0.2,9.260892868041992,4.637575149536142,2.2759437561035165
mps-uncap,0.3,13.393521308898926,6.749248504638671,2.9610633850097656
mps-uncap,0.4,16.82913303375244,9.03749465942383,3.4048080444335938
