mode,load,0_densenet169-4,1_squeezenet1_0-32,2_squeezenet1_1-4
mps-uncap,0.8,25.34961700439453,7.339239120483398,3.197312355041504
mps-uncap,0.9,23.025155067443848,7.618427276611328,3.781557083129883
mps-uncap,1.0,29.29246425628662,7.525920867919922,3.968477249145508
mps-uncap,0.5,18.761754035949707,7.056474685668945,2.604961395263672
mps-uncap,0.6,19.365310668945312,7.153034210205078,2.308368682861328
mps-uncap,0.7,20.177006721496582,7.288694381713867,2.4619102478027344
mps-uncap,0.1,27.817606925964355,8.707046508789062,3.837108612060547
mps-uncap,0.2,19.49465274810791,8.404970169067383,3.7643909454345703
mps-uncap,0.3,19.121885299682617,7.085561752319336,3.560662269592285
mps-uncap,0.4,18.94211769104004,6.896257400512695,2.9959678649902344
