mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mps-uncap,0.1,0.04100799560546875,0.04482269287109375,0.03457069396972656
mps-uncap,0.2,0.034332275390625,0.04124641418457031,0.04029273986816406
mps-uncap,0.3,0.03361701965332031,0.03838539123535156,0.029087066650390625
mps-uncap,0.4,0.028133392333984375,0.034332275390625,0.027179718017578125
mps-uncap,0.5,0.034332275390625,0.03457069396972656,0.02574920654296875
mps-uncap,0.6,0.035762786865234375,0.03528594970703125,0.024318695068359375
mps-uncap,0.7,0.035762786865234375,0.03838539123535156,0.026941299438476562
mps-uncap,0.8,0.029802322387695312,0.029087066650390625,0.026464462280273438
mps-uncap,0.9,0.016450881958007812,0.03814697265625,0.02574920654296875
mps-uncap,1.0,0.04267692565917969,0.02956390380859375,0.034809112548828125
mps-uncap,1.1,0.05507469177246094,0.07915496826171875,0.04458427429199219
mps-uncap,1.2,0.06628036499023438,0.08511543273925781,0.09512901306152344
mps-uncap,1.3,0.033855438232421875,0.049114227294921875,0.033855438232421875
mps-uncap,1.4,0.0629425048828125,0.04935264587402344,0.09441375732421875
mps-uncap,1.5,0.06723403930664062,0.04673004150390625,0.09083747863769531
ts,0.1,0.042438507080078125,0.037670135498046875,0.04291534423828125
ts,0.2,0.036716461181640625,0.03457069396972656,0.025987625122070312
ts,0.3,0.03600120544433594,0.03814697265625,0.036716461181640625
ts,0.4,0.030994415283203125,0.03457069396972656,0.041961669921875
ts,0.5,0.030279159545898438,0.03886222839355469,0.028133392333984375
ts,0.6,0.030279159545898438,0.034332275390625,0.024557113647460938
ts,0.7,0.03600120544433594,0.035762786865234375,0.027179718017578125
ts,0.8,0.03838539123535156,0.034809112548828125,0.030040740966796875
ts,0.9,0.04124641418457031,0.03504753112792969,0.025510787963867188
ts,1.0,0.04363059997558594,0.027894973754882812,0.0286102294921875
ts,1.1,0.04076957702636719,0.03743171691894531,0.024080276489257812
ts,1.2,0.11777877807617188,0.03504753112792969,0.025033950805664062
ts,1.3,0.061511993408203125,0.03314018249511719,0.02574920654296875
ts,1.4,0.044345855712890625,0.029325485229492188,0.024080276489257812
ts,1.5,0.072479248046875,0.03147125244140625,0.023365020751953125
mig,0.1,0.03910064697265625,0.03552436828613281,0.04291534423828125
mig,0.2,0.03409385681152344,0.035762786865234375,0.04267692565917969
mig,0.3,0.034332275390625,0.037670135498046875,0.02574920654296875
mig,0.4,0.035762786865234375,0.035762786865234375,0.026941299438476562
mig,0.5,0.03600120544433594,0.03552436828613281,0.025987625122070312
mig,0.6,0.042438507080078125,0.02956390380859375,0.03552436828613281
mig,0.7,0.06008148193359375,0.030994415283203125,0.027894973754882812
mig,0.8,0.045299530029296875,0.03457069396972656,0.025987625122070312
mig,0.9,0.06270408630371094,0.03457069396972656,0.026226043701171875
mig,1.0,0.06890296936035156,0.030040740966796875,0.03719329833984375
mig,1.1,0.06842613220214844,0.03361701965332031,0.025987625122070312
mig,1.2,0.06866455078125,0.0362396240234375,0.0247955322265625
mig,1.3,0.04315376281738281,0.03457069396972656,0.02574920654296875
mig,1.4,0.06842613220214844,0.027418136596679688,0.025510787963867188
mig,1.5,0.0743865966796875,0.026702880859375,0.025033950805664062
