mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mps-uncap,0.1,11.207818984985352,8.700370788574219,2.0749568939208984
mps-uncap,0.2,9.860992431640625,8.984565734863281,2.0546913146972656
mps-uncap,0.3,9.905576705932617,8.510351181030273,1.9655227661132812
mps-uncap,0.4,9.878396987915039,8.430004119873047,2.031564712524414
mps-uncap,0.5,9.917497634887695,8.385419845581055,1.9657611846923828
mps-uncap,0.6,9.911060333251953,8.547544479370117,2.0422935485839844
mps-uncap,0.7,9.97781753540039,8.281707763671875,1.9452571868896484
mps-uncap,0.8,9.995698928833008,8.413314819335938,1.905202865600586
mps-uncap,0.9,10.061264038085938,8.462905883789062,1.9602775573730469
mps-uncap,1.0,10.012388229370117,9.095907211303711,2.028226852416992
mps-uncap,1.1,11.392831802368164,27.20046043395996,6.6318511962890625
mps-uncap,1.2,10.453939437866211,16.616106033325195,2.5131702423095703
mps-uncap,1.3,11.034965515136719,27.91571617126465,2.5043487548828125
mps-uncap,1.4,12.407779693603516,31.67438507080078,8.153676986694336
mps-uncap,1.5,11.778593063354492,24.679183959960938,10.175943374633789
ts,0.1,11.428117752075195,8.894205093383789,1.9984245300292969
ts,0.2,9.87696647644043,8.364200592041016,2.5823116302490234
ts,0.3,9.892940521240234,8.354902267456055,2.5663375854492188
ts,0.4,9.898900985717773,8.58449935913086,1.983642578125
ts,0.5,9.905099868774414,8.401632308959961,1.916646957397461
ts,0.6,9.95182991027832,8.239984512329102,2.1333694458007812
ts,0.7,9.998559951782227,8.452415466308594,1.9404888153076172
ts,0.8,10.043859481811523,8.423805236816406,1.9037723541259766
ts,0.9,13.85188102722168,8.384227752685547,1.9505023956298828
ts,1.0,20.66516876220703,8.473634719848633,1.9488334655761719
ts,1.1,12.018680572509766,8.48388671875,1.943349838256836
ts,1.2,11.763572692871094,8.755683898925781,1.941680908203125
ts,1.3,21.79551124572754,8.400440216064453,1.9214153289794922
ts,1.4,21.22640609741211,8.348941802978516,1.9049644470214844
ts,1.5,19.628286361694336,8.37087631225586,1.9350051879882812
mig,0.1,21.56233787536621,8.561134338378906,2.694368362426758
mig,0.2,21.561861038208008,8.822202682495117,2.6798248291015625
mig,0.3,21.54541015625,8.690595626831055,2.677440643310547
mig,0.4,21.544456481933594,8.347511291503906,2.6640892028808594
mig,0.5,21.548032760620117,8.379697799682617,2.7039051055908203
mig,0.6,21.58379554748535,8.326530456542969,2.675771713256836
mig,0.7,21.674156188964844,8.498907089233398,2.7418136596679688
mig,0.8,21.759748458862305,8.293867111206055,2.6693344116210938
mig,0.9,21.765947341918945,8.393287658691406,2.6628971099853516
mig,1.0,21.641254425048828,8.39996337890625,2.660036087036133
mig,1.1,21.69966697692871,8.390665054321289,2.6617050170898438
mig,1.2,21.70109748840332,8.387565612792969,2.6755332946777344
mig,1.3,21.742820739746094,8.531808853149414,2.6688575744628906
mig,1.4,23.215055465698242,8.269786834716797,2.666473388671875
mig,1.5,21.956443786621094,8.445024490356445,2.6693344116210938
