mode,load,0_efficientnet_b5-2,1_resnet50-32,2_vgg19-32
mps-uncap,0.8,14.870166778564453,13.10276985168457,22.540569305419922
mps-uncap,0.9,21.181821823120117,13.580083847045898,22.55082130432129
mps-uncap,1.0,51.537513732910156,50.63509941101074,27.167320251464844
mps-uncap,0.5,15.01917839050293,12.64643669128418,22.416353225708008
mps-uncap,0.6,14.858245849609375,12.935876846313477,22.43351936340332
mps-uncap,0.7,14.686822891235352,13.00191879272461,22.351741790771484
mps-uncap,0.1,16.20650291442871,13.001441955566406,22.447586059570312
mps-uncap,0.2,15.478849411010742,12.819766998291016,22.38917350769043
mps-uncap,0.3,15.186548233032227,12.9547119140625,22.3538875579834
mps-uncap,0.4,15.11383056640625,12.914657592773438,22.30095863342285
