mode,load,0_efficientnet_b5-2,1_resnet50-32,2_vgg19-32
mps-uncap,0.8,14.691447396190801,524.9896573339091,917.7697356301678
mps-uncap,0.9,17.03893719132904,608.9047129465587,1066.7744363549114
mps-uncap,1.0,16.61178616479233,625.2202334116902,1067.4404911414565
mps-uncap,0.5,9.874135242610752,326.52371025178536,595.3188483239411
mps-uncap,0.6,11.159442406945212,382.0267528245349,696.8703191050588
mps-uncap,0.7,12.313386894143642,440.99977011776474,822.9541261001024
mps-uncap,0.1,1.5037953005928772,67.83760414189794,108.75689055076688
mps-uncap,0.2,4.22408759794644,120.07099203684868,240.41544990207606
mps-uncap,0.3,5.463439339414969,192.46001768809535,340.7792419884719
mps-uncap,0.4,7.77262207897028,253.05076822512393,455.41688131579195
