mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,8.519411087036133,3.9937496185302734,3.161907196044922
mps-uncap,0.9,8.63027572631836,4.038095474243164,3.2854080200195312
mps-uncap,1.0,9.536504745483398,4.002094268798828,3.3559799194335938
mps-uncap,0.5,8.486509323120117,4.0225982666015625,3.0803680419921875
mps-uncap,0.6,8.545875549316406,3.9925575256347656,3.082275390625
mps-uncap,0.7,8.499622344970703,3.9772987365722656,3.0913352966308594
mps-uncap,0.1,8.73422622680664,4.106044769287109,3.359079360961914
mps-uncap,0.2,8.653879165649414,4.033088684082031,3.2515525817871094
mps-uncap,0.3,8.417844772338867,3.96728515625,3.2584667205810547
mps-uncap,0.4,8.487224578857422,4.066705703735352,3.1020641326904297
