mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,21.60167694091797,8.62431526184082,14.654159545898438
mps-uncap,0.9,25.162696838378906,14.27006721496582,14.79029655456543
mps-uncap,1.0,27.207136154174805,16.310930252075195,16.824007034301758
mps-uncap,0.5,22.925615310668945,10.862588882446289,10.95128059387207
mps-uncap,0.6,20.88475227355957,10.516881942749023,10.547876358032227
mps-uncap,0.7,22.742271423339844,8.793115615844727,9.840726852416992
mps-uncap,0.1,23.20384979248047,12.595653533935547,17.968177795410156
mps-uncap,0.2,21.508216857910156,14.988183975219727,10.519742965698242
mps-uncap,0.3,20.859718322753906,10.042428970336914,9.688138961791992
mps-uncap,0.4,20.424842834472656,12.135744094848633,16.02768898010254
