mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,190.6726360321045,144.3026065826416,62.40415573120117
mps-uncap,0.9,367.8896427154541,1289.7164821624756,913.4385585784912
mps-uncap,1.0,1871.4771270751953,8155.521869659424,7605.26704788208
mps-uncap,0.5,77.06069946289062,28.787612915039062,25.08544921875
mps-uncap,0.6,79.62417602539062,47.84369468688965,37.20498085021973
mps-uncap,0.7,84.50031280517578,59.11540985107422,43.050527572631836
mps-uncap,0.1,45.62997817993164,38.223981857299805,17.9903507232666
mps-uncap,0.2,41.61810874938965,33.53261947631836,18.86272430419922
mps-uncap,0.3,50.5223274230957,34.76667404174805,21.49200439453125
mps-uncap,0.4,49.104928970336914,38.397789001464844,23.87094497680664
