mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,814.852265275449,718.6513501902825,2904.72374915524
mps-uncap,0.9,899.8386253627236,801.2845145077254,3177.4169177388053
mps-uncap,1.0,983.3806432771275,792.8750409959123,3124.1356395554158
mps-uncap,0.5,494.2662537081142,444.4329409543244,1756.2206329697774
mps-uncap,0.6,595.8844994713136,529.902485642215,2152.550385653704
mps-uncap,0.7,707.4999254174525,612.2060304119593,2473.9303667046897
mps-uncap,0.1,102.75050060535307,90.40991531492605,350.53569734376947
mps-uncap,0.2,213.75848311410488,177.7166500718262,715.8999285765543
mps-uncap,0.3,314.91081847650867,273.2245975468238,1088.6335527181323
mps-uncap,0.4,421.4498344443831,353.6724150606792,1468.1929474554347
