mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_squeezenet1_0-16
mps-uncap,0.8,15.021562576293945,4.72712516784668,4.330158233642578
mps-uncap,0.9,16.0062313079834,4.848718643188477,4.789113998413086
mps-uncap,1.0,16.118168830871582,4.876136779785156,4.848957061767578
mps-uncap,0.5,10.712623596191406,4.446268081665039,3.8900375366210938
mps-uncap,0.6,11.339068412780762,4.435539245605469,3.9829015731811523
mps-uncap,0.7,12.55190372467041,4.496574401855469,4.126906394958496
mps-uncap,0.1,17.737388610839844,9.12928581237793,4.743814468383789
mps-uncap,0.2,15.759825706481934,7.7667236328125,4.603385925292969
mps-uncap,0.3,12.963056564331055,6.185054779052734,4.430055618286133
mps-uncap,0.4,11.231422424316406,4.822254180908203,4.22358512878418
