mode,load,0_vgg19-2,1_efficientnet_b6-2,2_resnet152-8
mps-uncap,1.0,478.08181818843127,87.81173968959004,397.9778095626158
mig,1.0,411.49159656503133,114.1511602789915,303.22131868183124
