mode,load,0_densenet201-32,1_mobilenet_v2-16,2_resnet50-8
mps-uncap,0.8,59.58539962768555,13.497042655944826,17.973749637603753
mps-uncap,0.9,59.88789081573486,13.556981086730957,19.13917064666748
mps-uncap,1.0,59.64885950088501,14.029793739318846,17.364506721496582
mps-uncap,0.5,51.209783554077134,12.968196868896488,16.70522689819336
mps-uncap,0.6,57.73622512817383,12.817416191101074,17.548100948333737
mps-uncap,0.7,55.21349906921387,14.202051162719727,18.24318408966064
mps-uncap,0.1,53.30367088317872,12.16114282608029,13.97798538208005
mps-uncap,0.2,43.576531410217285,12.646770477294922,13.628349304199219
mps-uncap,0.3,46.70548439025879,12.403697967529297,15.655374526977537
mps-uncap,0.4,52.790937423706055,12.83233165740967,15.226678848266605
