mode,load,0_densenet201-32,1_mobilenet_v2-16,2_resnet50-8
mps-uncap,0.8,487.0849030235153,1572.2893263772821,577.1767247722311
mps-uncap,0.9,553.0490809398821,1816.3956884432116,624.6389922264552
mps-uncap,1.0,552.3427158260818,1790.3156486284518,679.3762161175024
mps-uncap,0.5,296.7309374957365,980.0530561316125,355.8571176772656
mps-uncap,0.6,354.58527286990653,1226.2484815780322,427.49243383860903
mps-uncap,0.7,451.81234014968857,1414.3550617763303,509.15516215016726
mps-uncap,0.1,60.264907680196124,190.52134118979058,67.86206322070345
mps-uncap,0.2,123.01360826194107,414.68649906523814,133.24413524483128
mps-uncap,0.3,168.92017717624555,603.7769114262882,211.20353766146982
mps-uncap,0.4,240.5789716440522,811.9225685274763,284.4304544272321
