mode,load,0_efficientnet_b5-2,1_inception_v3-32,2_vgg11-8
mps-uncap,0.8,29.64134216308594,31.080174446105957,6.239891052246092
mps-uncap,0.9,30.975627899169922,31.846904754638672,6.583094596862793
mps-uncap,1.0,37.57972717285156,33.56814384460449,6.300544738769531
mps-uncap,0.5,23.367953300476078,26.95918083190918,5.228662490844727
mps-uncap,0.6,27.390193939208984,26.511144638061523,5.574464797973633
mps-uncap,0.7,27.416753768920902,30.051207542419437,5.770230293273928
mps-uncap,0.1,34.60359573364258,20.918607711791992,5.706095695495606
mps-uncap,0.2,27.949810028076172,20.740461349487305,4.962015151977539
mps-uncap,0.3,26.55620574951172,21.616411209106452,4.986429214477539
mps-uncap,0.4,25.062346458435055,22.520875930786136,5.157065391540527
