mode,load,0_efficientnet_b5-2,1_inception_v3-32,2_vgg11-8
mps-uncap,0.8,151.94633007049546,205.04648447036746,81.01356029510498
mps-uncap,0.9,252.27325916290283,1039.532170295715,252.6719570159912
mps-uncap,1.0,7945.061285495759,7281.2066078186035,3523.6573028564453
mps-uncap,0.5,49.13474798202498,61.19981765747069,20.327632427215573
mps-uncap,0.6,73.16761255264282,69.30525779724113,23.993313312530518
mps-uncap,0.7,96.68775558471677,117.54020690917969,40.0290274620058
mps-uncap,0.1,48.30074310302736,37.895846366882296,10.019667148590079
mps-uncap,0.2,44.00838851928711,37.012114524841294,10.708956718444822
mps-uncap,0.3,42.471609115600586,43.90868186950703,12.834310531616211
mps-uncap,0.4,44.20414924621582,49.037208557128906,14.898867607116724
