mode,load,0_efficientnet_b5-2,1_inception_v3-32,2_vgg11-8
mps-uncap,0.8,47.785578194070176,926.7937051010554,1390.4981208070867
mps-uncap,0.9,52.50138348535679,1016.0955956054063,1566.4601001978217
mps-uncap,1.0,55.58632697637432,981.1541479261991,1636.0401469866429
mps-uncap,0.5,29.230553944162732,592.9523242493642,869.171020510535
mps-uncap,0.6,36.19229721382561,676.2246023511734,1019.1650752941878
mps-uncap,0.7,40.74142721994703,792.8526619365387,1199.5404773933283
mps-uncap,0.1,6.349044186058133,118.01454890015096,165.24769451930564
mps-uncap,0.2,12.326412609383713,236.680409571499,358.6536016699756
mps-uncap,0.3,17.754448980386538,359.8757436242093,508.91399938701613
mps-uncap,0.4,24.429378679151863,472.86824846182236,676.7882916083947
