mode,load,0_efficientnet_b5-2,1_inception_v3-32,2_vgg11-8
mps-uncap,0.8,196.34604454040527,250.34356117248535,129.5778751373291
mps-uncap,0.9,267.9407596588135,1152.143955230713,295.14479637145996
mps-uncap,1.0,8200.192928314209,7368.350028991699,3548.783540725708
mps-uncap,0.5,40.99774360656738,56.94413185119629,39.24679756164551
mps-uncap,0.6,71.02847099304199,72.25728034973145,42.028188705444336
mps-uncap,0.7,125.12445449829102,152.72068977355957,70.16181945800781
mps-uncap,0.1,33.071279525756836,33.31255912780762,8.989572525024414
mps-uncap,0.2,39.62349891662598,31.998157501220703,10.274171829223633
mps-uncap,0.3,33.77890586853027,49.26300048828125,14.912605285644531
mps-uncap,0.4,38.7883186340332,56.84161186218262,22.198200225830078
