mode,load,0_efficientnet_b5-2,1_inception_v3-32,2_vgg11-8
mps-uncap,0.8,14.94908332824707,11.266708374023438,3.4682750701904297
mps-uncap,0.9,15.240669250488281,11.812448501586914,3.6602020263671875
mps-uncap,1.0,16.20173454284668,14.126062393188477,3.5562515258789062
mps-uncap,0.5,14.773368835449219,10.923147201538086,3.4475326538085938
mps-uncap,0.6,14.702558517456055,10.782718658447266,3.4270286560058594
mps-uncap,0.7,14.838695526123047,11.149883270263672,3.430604934692383
mps-uncap,0.1,15.187740325927734,14.00136947631836,3.5157203674316406
mps-uncap,0.2,14.944076538085938,11.144399642944336,3.4923553466796875
mps-uncap,0.3,14.674901962280273,10.90383529663086,3.454446792602539
mps-uncap,0.4,14.772415161132812,10.78653335571289,3.4415721893310547
