mode,load,0_efficientnet_b7-4,1_efficientnet_b7-4
mig,0.1,23.23007583618164,23.206710815429688
mig,0.2,22.24409580230713,22.288203239440918
mig,0.3,21.631240844726562,21.866559982299805
mig,0.4,21.391868591308594,21.126627922058105
mig,0.5,21.62790298461914,21.38197422027588
mig,0.6,21.411418914794922,21.968364715576172
mig,0.7,21.30413055419922,21.661996841430664
mig,0.8,21.329641342163086,21.487951278686523
mig,0.9,21.745920181274414,21.675467491149902
mig,1.0,21.144866943359375,21.35300636291504
