mode,load,0_efficientnet_b7-4,1_efficientnet_b7-4
mig,0.1,0.012636184692382812,0.01239776611328125
mig,0.2,0.012159347534179688,0.01239776611328125
mig,0.3,0.012874603271484375,0.012636184692382812
mig,0.4,0.012636184692382812,0.01239776611328125
mig,0.5,0.012874603271484375,0.012874603271484375
mig,0.6,0.012636184692382812,0.010251998901367188
mig,0.7,0.016689300537109375,0.01239776611328125
mig,0.8,0.012874603271484375,0.013113021850585938
mig,0.9,0.012636184692382812,0.016450881958007812
mig,1.0,0.01239776611328125,0.01621246337890625
