mode,load,0_densenet169-4,1_densenet201-32,2_resnet152-2
mps-uncap,0.8,160.7813905025623,782.1610768187011,96.82591776223894
mps-uncap,0.9,186.0265194794302,858.784828180819,106.04891206354205
mps-uncap,1.0,196.8295194049932,908.8352069816575,117.0798662157668
mps-uncap,0.5,102.17584551074415,469.8888053109136,58.43188832049442
mps-uncap,0.6,122.62452421259422,574.6894237662318,68.11280963145279
mps-uncap,0.7,140.15122576785672,650.9419066880175,82.11974926549023
mps-uncap,0.1,22.163843987210374,89.40831531719347,11.192231257388766
mps-uncap,0.2,41.9646321759294,183.29807410262416,24.005414650939983
mps-uncap,0.3,60.93864263349173,254.87026114874652,33.82254935213487
mps-uncap,0.4,80.04382241664193,394.3952918489356,46.63091958565439
