mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-16,2_mobilenet_v3_small-16,3_mobilenet_v3_small-16
mig,0.1,6.825685501098633,6.704568862915039,6.606101989746094,6.546974182128906
mig,0.2,8.219480514526367,7.958889007568359,7.9746246337890625,7.4634552001953125
mig,0.3,9.75656509399414,8.21995735168457,7.378578186035156,7.747650146484375
mig,0.4,7.203578948974609,6.998300552368164,7.135868072509766,7.800579071044922
mig,0.5,6.641149520874023,6.851673126220703,6.987333297729492,6.661415100097656
mig,0.6,5.813360214233398,5.606889724731445,5.812168121337891,6.345033645629883
mig,0.7,5.466699600219727,5.549430847167969,5.597591400146484,6.150245666503906
mig,0.8,4.398584365844727,4.44340705871582,4.674673080444336,6.170988082885742
mig,0.9,4.392862319946289,4.449605941772461,4.445314407348633,6.17218017578125
mig,1.0,4.400968551635742,4.448652267456055,4.467487335205078,6.165266036987305
