mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-16,2_mobilenet_v3_small-16,3_mobilenet_v3_small-16
mig,0.1,495.78052069313895,445.51778883334435,469.77637137509095,255.11190237241337
mig,0.2,932.9606111603379,910.8231646658891,936.9646545364653,528.3480500625119
mig,0.3,1388.5970746519279,1357.6219195626584,1355.3891867842892,826.2233747293402
mig,0.4,1850.7905306291646,1821.2154166875903,1809.0238381075242,1059.5559487816106
mig,0.5,2297.437026510012,2285.097407476881,2253.876471385708,1346.1086626368253
mig,0.6,2766.6799325429183,2704.145950330614,2731.1583495516807,1590.2617355042341
mig,0.7,3305.1412246325485,3139.5871625245327,3183.3523219102694,1850.1437667993525
mig,0.8,3746.546997511363,3608.5196240872724,3641.7049738044525,2143.529266896248
mig,0.9,4208.318224087236,4114.81489198875,4070.143213460576,2455.7322095512905
mig,1.0,4635.57026493318,4629.193625445108,4532.61233406365,2652.504585499813
