mode,load,0_squeezenet1_1-8,1_squeezenet1_1-8
mig,0.1,2.4001598358154297,2.7418136596679688
mig,0.2,2.3927688598632812,2.711057662963867
mig,0.3,1.8854141235351562,2.2079944610595703
mig,0.4,1.8818378448486328,2.2013187408447266
mig,0.5,1.8782615661621094,2.201557159423828
mig,0.6,1.8794536590576172,2.194643020629883
mig,0.7,1.882791519165039,2.202272415161133
mig,0.8,1.8835067749023438,2.2039413452148438
mig,0.9,1.8832683563232422,2.1986961364746094
mig,1.0,1.8832683563232422,2.2008419036865234
